위치,측정일시,측정주기,평균값,최소값,최대값
오포읍,2018-01-01 0:00,M,-140,-140,-140
오포읍,2018-01-01 0:00,H,-130,-130,-130
오포읍,2018-01-01 0:00,D,-423,-450,-400
오포읍,2018-01-01 0:00,N,-492,-1570,340
오포읍,2018-01-01 0:00,Y,1250,-1570,4120
오포읍,2018-01-01 0:10,M,-140,-140,-140
오포읍,2018-01-01 0:20,M,-170,-170,-170
오포읍,2018-01-01 0:30,M,-240,-240,-240
오포읍,2018-01-01 0:40,M,-190,-190,-190
오포읍,2018-01-01 0:50,M,-210,-210,-210
오포읍,2018-01-01 1:00,M,-260,-260,-260
오포읍,2018-01-01 1:00,H,-210,-210,-210
오포읍,2018-01-01 1:10,M,-250,-250,-250
오포읍,2018-01-01 1:20,M,-220,-220,-220
오포읍,2018-01-01 1:30,M,-260,-260,-260
오포읍,2018-01-01 1:40,M,-310,-310,-310
오포읍,2018-01-01 1:50,M,-350,-350,-350
오포읍,2018-01-01 2:00,M,-390,-390,-390
오포읍,2018-01-01 2:00,H,-350,-350,-350
오포읍,2018-01-01 2:10,M,-400,-400,-400
오포읍,2018-01-01 2:20,M,-430,-430,-430
오포읍,2018-01-01 2:30,M,-450,-450,-450
오포읍,2018-01-01 2:40,M,-460,-460,-460
오포읍,2018-01-01 2:50,M,-490,-490,-490
오포읍,2018-01-01 3:00,M,-500,-500,-500
오포읍,2018-01-01 3:00,H,-490,-490,-490
오포읍,2018-01-01 3:10,M,-510,-510,-510
오포읍,2018-01-01 3:20,M,-530,-530,-530
오포읍,2018-01-01 3:30,M,-520,-520,-520
오포읍,2018-01-01 3:40,M,-550,-550,-550
오포읍,2018-01-01 3:50,M,-550,-550,-550
오포읍,2018-01-01 4:00,M,-560,-560,-560
오포읍,2018-01-01 4:00,H,-560,-560,-560
오포읍,2018-01-01 4:10,M,-590,-590,-590
오포읍,2018-01-01 4:20,M,-600,-600,-600
오포읍,2018-01-01 4:30,M,-600,-600,-600
오포읍,2018-01-01 4:40,M,-600,-600,-600
오포읍,2018-01-01 4:50,M,-630,-630,-630
오포읍,2018-01-01 5:00,M,-630,-630,-630
오포읍,2018-01-01 5:00,H,-630,-630,-630
오포읍,2018-01-01 5:10,M,-630,-630,-630
오포읍,2018-01-01 5:20,M,-640,-640,-640
오포읍,2018-01-01 5:30,M,-640,-640,-640
오포읍,2018-01-01 5:40,M,-660,-660,-660
오포읍,2018-01-01 5:50,M,-660,-660,-660
오포읍,2018-01-01 6:00,M,-700,-700,-700
오포읍,2018-01-01 6:00,H,-680,-680,-680
오포읍,2018-01-01 6:10,M,-710,-710,-710
오포읍,2018-01-01 6:20,M,-710,-710,-710
오포읍,2018-01-01 6:30,M,-710,-710,-710
오포읍,2018-01-01 6:40,M,-730,-730,-730
오포읍,2018-01-01 6:50,M,-730,-730,-730
오포읍,2018-01-01 7:00,M,-730,-730,-730
오포읍,2018-01-01 7:00,H,-730,-730,-730
오포읍,2018-01-01 7:10,M,-740,-740,-740
오포읍,2018-01-01 7:20,M,-750,-750,-750
오포읍,2018-01-01 7:30,M,-750,-750,-750
오포읍,2018-01-01 7:40,M,-750,-750,-750
오포읍,2018-01-01 7:50,M,-760,-760,-760
오포읍,2018-01-01 8:00,M,-760,-760,-760
오포읍,2018-01-01 8:00,H,-760,-760,-760
오포읍,2018-01-01 8:10,M,-750,-750,-750
오포읍,2018-01-01 8:20,M,-720,-720,-720
오포읍,2018-01-01 8:30,M,-690,-690,-690
오포읍,2018-01-01 8:40,M,-650,-650,-650
오포읍,2018-01-01 8:50,M,-570,-570,-570
오포읍,2018-01-01 9:00,M,-480,-480,-480
오포읍,2018-01-01 9:00,H,-550,-550,-550
오포읍,2018-01-01 9:10,M,-440,-440,-440
오포읍,2018-01-01 9:20,M,-400,-400,-400
오포읍,2018-01-01 9:30,M,-400,-400,-400
오포읍,2018-01-01 9:40,M,-350,-350,-350
오포읍,2018-01-01 9:50,M,-280,-280,-280
오포읍,2018-01-01 10:00,M,-240,-240,-240
오포읍,2018-01-01 10:00,H,-250,-250,-250
오포읍,2018-01-01 10:10,M,-140,-140,-140
오포읍,2018-01-01 10:20,M,-20,-20,-20
오포읍,2018-01-01 10:30,M,-50,-50,-50
오포읍,2018-01-01 10:40,M,-20,-20,-20
오포읍,2018-01-01 10:50,M,50,50,50
오포읍,2018-01-01 11:00,M,70,70,70
오포읍,2018-01-01 11:00,H,60,60,60
오포읍,2018-01-01 11:10,M,110,110,110
오포읍,2018-01-01 11:20,M,170,170,170
오포읍,2018-01-01 11:30,M,200,200,200
오포읍,2018-01-01 11:40,M,220,220,220
오포읍,2018-01-01 11:50,M,210,210,210
오포읍,2018-01-01 12:00,M,220,220,220
오포읍,2018-01-01 12:00,H,190,190,190
오포읍,2018-01-01 12:10,M,290,290,290
오포읍,2018-01-01 12:20,M,270,270,270
오포읍,2018-01-01 12:30,M,260,260,260
오포읍,2018-01-01 12:40,M,260,260,260
오포읍,2018-01-01 12:50,M,300,300,300
오포읍,2018-01-01 13:00,M,300,300,300
오포읍,2018-01-01 13:00,H,300,300,300
오포읍,2018-01-01 13:10,M,310,310,310
오포읍,2018-01-01 13:20,M,330,330,330
오포읍,2018-01-01 13:30,M,340,340,340
오포읍,2018-01-01 13:40,M,340,340,340
오포읍,2018-01-01 13:50,M,350,350,350
오포읍,2018-01-01 14:00,M,340,340,340
오포읍,2018-01-01 14:00,H,330,330,330
오포읍,2018-01-01 14:10,M,340,340,340
오포읍,2018-01-01 14:20,M,360,360,360
오포읍,2018-01-01 14:30,M,380,380,380
오포읍,2018-01-01 14:40,M,390,390,390
오포읍,2018-01-01 14:50,M,390,390,390
오포읍,2018-01-01 15:00,M,370,370,370
오포읍,2018-01-01 15:00,H,390,390,390
오포읍,2018-01-01 15:10,M,380,380,380
오포읍,2018-01-01 15:20,M,360,360,360
오포읍,2018-01-01 15:30,M,400,400,400
오포읍,2018-01-01 15:40,M,360,360,360
오포읍,2018-01-01 15:50,M,350,350,350
오포읍,2018-01-01 16:00,M,330,330,330
오포읍,2018-01-01 16:00,H,350,350,350
오포읍,2018-01-01 16:10,M,330,330,330
오포읍,2018-01-01 16:20,M,300,300,300
오포읍,2018-01-01 16:30,M,290,290,290
오포읍,2018-01-01 16:40,M,280,280,280
오포읍,2018-01-01 16:50,M,250,250,250
오포읍,2018-01-01 17:00,M,230,230,230
오포읍,2018-01-01 17:00,H,240,240,240
오포읍,2018-01-01 17:10,M,220,220,220
오포읍,2018-01-01 17:20,M,200,200,200
오포읍,2018-01-01 17:30,M,190,190,190
오포읍,2018-01-01 17:40,M,180,180,180
오포읍,2018-01-01 17:50,M,160,160,160
오포읍,2018-01-01 18:00,M,160,160,160
오포읍,2018-01-01 18:00,H,170,170,170
오포읍,2018-01-01 18:10,M,140,140,140
오포읍,2018-01-01 18:20,M,130,130,130
오포읍,2018-01-01 18:30,M,100,100,100
오포읍,2018-01-01 18:40,M,30,30,30
오포읍,2018-01-01 18:50,M,-30,-30,-30
오포읍,2018-01-01 19:00,M,-80,-80,-80
오포읍,2018-01-01 19:00,H,-30,-30,-30
오포읍,2018-01-01 19:10,M,-90,-90,-90
오포읍,2018-01-01 19:20,M,-80,-80,-80
오포읍,2018-01-01 19:30,M,-120,-120,-120
오포읍,2018-01-01 19:40,M,-140,-140,-140
오포읍,2018-01-01 19:50,M,-150,-150,-150
오포읍,2018-01-01 20:00,M,-160,-160,-160
오포읍,2018-01-01 20:00,H,-150,-150,-150
오포읍,2018-01-01 20:10,M,-170,-170,-170
오포읍,2018-01-01 20:20,M,-190,-190,-190
오포읍,2018-01-01 20:30,M,-200,-200,-200
오포읍,2018-01-01 20:40,M,-220,-220,-220
오포읍,2018-01-01 20:50,M,-240,-240,-240
오포읍,2018-01-01 21:00,M,-250,-250,-250
오포읍,2018-01-01 21:00,H,-250,-250,-250
오포읍,2018-01-01 21:10,M,-250,-250,-250
오포읍,2018-01-01 21:20,M,-260,-260,-260
오포읍,2018-01-01 21:30,M,-290,-290,-290
오포읍,2018-01-01 21:40,M,-300,-300,-300
오포읍,2018-01-01 21:50,M,-310,-310,-310
오포읍,2018-01-01 22:00,M,-330,-330,-330
오포읍,2018-01-01 22:00,H,-330,-330,-330
오포읍,2018-01-01 22:10,M,-330,-330,-330
오포읍,2018-01-01 22:20,M,-350,-350,-350
오포읍,2018-01-01 22:30,M,-360,-360,-360
오포읍,2018-01-01 22:40,M,-380,-380,-380
오포읍,2018-01-01 22:50,M,-400,-400,-400
오포읍,2018-01-01 23:00,M,-400,-400,-400
오포읍,2018-01-01 23:00,H,-400,-400,-400
오포읍,2018-01-01 23:10,M,-400,-400,-400
오포읍,2018-01-01 23:20,M,-420,-420,-420
오포읍,2018-01-01 23:30,M,-430,-430,-430
오포읍,2018-01-01 23:40,M,-440,-440,-440
오포읍,2018-01-01 23:50,M,-450,-450,-450
오포읍,2018-01-02 0:00,M,-460,-460,-460
오포읍,2018-01-02 0:00,H,-450,-450,-450
오포읍,2018-01-02 0:00,D,-257,-300,-220
오포읍,2018-01-02 0:10,M,-460,-460,-460
오포읍,2018-01-02 0:20,M,-460,-460,-460
오포읍,2018-01-02 0:30,M,-490,-490,-490
오포읍,2018-01-02 0:40,M,-490,-490,-490
오포읍,2018-01-02 0:50,M,-490,-490,-490
오포읍,2018-01-02 1:00,M,-500,-500,-500
오포읍,2018-01-02 1:00,H,-490,-490,-490
오포읍,2018-01-02 1:10,M,-530,-530,-530
오포읍,2018-01-02 1:20,M,-530,-530,-530
오포읍,2018-01-02 1:30,M,-530,-530,-530
오포읍,2018-01-02 1:40,M,-540,-540,-540
오포읍,2018-01-02 1:50,M,-550,-550,-550
오포읍,2018-01-02 2:00,M,-560,-560,-560
오포읍,2018-01-02 2:00,H,-550,-550,-550
오포읍,2018-01-02 2:10,M,-560,-560,-560
오포읍,2018-01-02 2:20,M,-560,-560,-560
오포읍,2018-01-02 2:30,M,-580,-580,-580
오포읍,2018-01-02 2:40,M,-580,-580,-580
오포읍,2018-01-02 2:50,M,-580,-580,-580
오포읍,2018-01-02 3:00,M,-600,-600,-600
오포읍,2018-01-02 3:00,H,-580,-580,-580
오포읍,2018-01-02 3:10,M,-600,-600,-600
오포읍,2018-01-02 3:20,M,-600,-600,-600
오포읍,2018-01-02 3:30,M,-610,-610,-610
오포읍,2018-01-02 3:40,M,-630,-630,-630
오포읍,2018-01-02 3:50,M,-630,-630,-630
오포읍,2018-01-02 4:00,M,-630,-630,-630
오포읍,2018-01-02 4:00,H,-630,-630,-630
오포읍,2018-01-02 4:10,M,-630,-630,-630
오포읍,2018-01-02 4:20,M,-630,-630,-630
오포읍,2018-01-02 4:30,M,-630,-630,-630
오포읍,2018-01-02 4:40,M,-660,-660,-660
오포읍,2018-01-02 4:50,M,-650,-650,-650
오포읍,2018-01-02 5:00,M,-650,-650,-650
오포읍,2018-01-02 5:00,H,-650,-650,-650
오포읍,2018-01-02 5:10,M,-660,-660,-660
오포읍,2018-01-02 5:20,M,-680,-680,-680
오포읍,2018-01-02 5:30,M,-680,-680,-680
오포읍,2018-01-02 5:40,M,-680,-680,-680
오포읍,2018-01-02 5:50,M,-680,-680,-680
오포읍,2018-01-02 6:00,M,-680,-680,-680
오포읍,2018-01-02 6:00,H,-680,-680,-680
오포읍,2018-01-02 6:10,M,-680,-680,-680
오포읍,2018-01-02 6:20,M,-680,-680,-680
오포읍,2018-01-02 6:30,M,-670,-670,-670
오포읍,2018-01-02 6:40,M,-680,-680,-680
오포읍,2018-01-02 6:50,M,-680,-680,-680
오포읍,2018-01-02 7:00,M,-680,-680,-680
오포읍,2018-01-02 7:00,H,-680,-680,-680
오포읍,2018-01-02 7:10,M,-710,-710,-710
오포읍,2018-01-02 7:20,M,-710,-710,-710
오포읍,2018-01-02 7:30,M,-700,-700,-700
오포읍,2018-01-02 7:40,M,-710,-710,-710
오포읍,2018-01-02 7:50,M,-700,-700,-700
오포읍,2018-01-02 8:00,M,-700,-700,-700
오포읍,2018-01-02 8:00,H,-700,-700,-700
오포읍,2018-01-02 8:10,M,-680,-680,-680
오포읍,2018-01-02 8:20,M,-650,-650,-650
오포읍,2018-01-02 8:30,M,-640,-640,-640
오포읍,2018-01-02 8:40,M,-630,-630,-630
오포읍,2018-01-02 8:50,M,-590,-590,-590
오포읍,2018-01-02 9:00,M,-560,-560,-560
오포읍,2018-01-02 9:00,H,-560,-560,-560
오포읍,2018-01-02 9:10,M,-510,-510,-510
오포읍,2018-01-02 9:20,M,-490,-490,-490
오포읍,2018-01-02 9:30,M,-460,-460,-460
오포읍,2018-01-02 9:40,M,-390,-390,-390
오포읍,2018-01-02 9:50,M,-360,-360,-360
오포읍,2018-01-02 10:00,M,-280,-280,-280
오포읍,2018-01-02 10:00,H,-350,-350,-350
오포읍,2018-01-02 10:10,M,-250,-250,-250
오포읍,2018-01-02 10:20,M,-200,-200,-200
오포읍,2018-01-02 10:30,M,-170,-170,-170
오포읍,2018-01-02 10:40,M,-170,-170,-170
오포읍,2018-01-02 10:50,M,-110,-110,-110
오포읍,2018-01-02 11:00,M,-60,-60,-60
오포읍,2018-01-02 11:00,H,-80,-80,-80
오포읍,2018-01-02 11:10,M,-50,-50,-50
오포읍,2018-01-02 11:20,M,-20,-20,-20
오포읍,2018-01-02 11:30,M,70,70,70
오포읍,2018-01-02 11:40,M,120,120,120
오포읍,2018-01-02 11:50,M,190,190,190
오포읍,2018-01-02 12:00,M,200,200,200
오포읍,2018-01-02 12:00,H,180,180,180
오포읍,2018-01-02 12:10,M,230,230,230
오포읍,2018-01-02 12:20,M,220,220,220
오포읍,2018-01-02 12:30,M,220,220,220
오포읍,2018-01-02 12:40,M,210,210,210
오포읍,2018-01-02 12:50,M,220,220,220
오포읍,2018-01-02 13:00,M,230,230,230
오포읍,2018-01-02 13:00,H,210,210,210
오포읍,2018-01-02 13:10,M,210,210,210
오포읍,2018-01-02 13:20,M,230,230,230
오포읍,2018-01-02 13:30,M,240,240,240
오포읍,2018-01-02 13:40,M,210,210,210
오포읍,2018-01-02 13:50,M,250,250,250
오포읍,2018-01-02 14:00,M,220,220,220
오포읍,2018-01-02 14:00,H,230,230,230
오포읍,2018-01-02 14:10,M,210,210,210
오포읍,2018-01-02 14:20,M,200,200,200
오포읍,2018-01-02 14:30,M,220,220,220
오포읍,2018-01-02 14:40,M,200,200,200
오포읍,2018-01-02 14:50,M,210,210,210
오포읍,2018-01-02 15:00,M,190,190,190
오포읍,2018-01-02 15:00,H,210,210,210
오포읍,2018-01-02 15:10,M,210,210,210
오포읍,2018-01-02 15:20,M,190,190,190
오포읍,2018-01-02 15:30,M,180,180,180
오포읍,2018-01-02 15:40,M,150,150,150
오포읍,2018-01-02 15:50,M,170,170,170
오포읍,2018-01-02 16:00,M,150,150,150
오포읍,2018-01-02 16:00,H,170,170,170
오포읍,2018-01-02 16:10,M,150,150,150
오포읍,2018-01-02 16:20,M,140,140,140
오포읍,2018-01-02 16:30,M,120,120,120
오포읍,2018-01-02 16:40,M,100,100,100
오포읍,2018-01-02 16:50,M,80,80,80
오포읍,2018-01-02 17:00,M,70,70,70
오포읍,2018-01-02 17:00,H,80,80,80
오포읍,2018-01-02 17:10,M,70,70,70
오포읍,2018-01-02 17:20,M,50,50,50
오포읍,2018-01-02 17:30,M,30,30,30
오포읍,2018-01-02 17:40,M,10,10,10
오포읍,2018-01-02 17:50,M,30,30,30
오포읍,2018-01-02 18:00,M,10,10,10
오포읍,2018-01-02 18:00,H,30,30,30
오포읍,2018-01-02 18:10,M,0,0,0
오포읍,2018-01-02 18:20,M,-30,-30,-30
오포읍,2018-01-02 18:30,M,-20,-20,-20
오포읍,2018-01-02 18:40,M,-60,-60,-60
오포읍,2018-01-02 18:50,M,-60,-60,-60
오포읍,2018-01-02 19:00,M,-60,-60,-60
오포읍,2018-01-02 19:00,H,-70,-70,-70
오포읍,2018-01-02 19:10,M,-80,-80,-80
오포읍,2018-01-02 19:20,M,-40,-40,-40
오포읍,2018-01-02 19:30,M,-30,-30,-30
오포읍,2018-01-02 19:40,M,-60,-60,-60
오포읍,2018-01-02 19:50,M,-70,-70,-70
오포읍,2018-01-02 20:00,M,-60,-60,-60
오포읍,2018-01-02 20:00,H,-70,-70,-70
