"번호","시도","기관명","주소","전화번호","운영주체","법인유형"
"1","서울","가락종합사회복지관","서울특별시 송파구 양재대로 897번지","02-449-2341","서울YWCA","사회복지법인"
"1","서울","가락종합사회복지관","서울특별시 송파구 양재대로 897번지","02-449-2342","서울YWCA","사회복지법인"
"1","서울","가락종합사회복지관","서울특별시 송파구 양재대로 897번지","02-449-2343","서울YWCA","사회복지법인"
"1","서울","가락종합사회복지관","서울특별시 송파구 양재대로 897번지","02-449-2344","서울YWCA","사회복지법인"
"2","서울","금천누리종합사회복지관","서울 금천구 가산로 129 가산동주민센터","02-868-6856","티뷰크 사회복지재단","사회복지법인"
"2","서울","금천누리종합사회복지관","서울 금천구 가산로 129 가산동주민센터","02-868-6857","티뷰크 사회복지재단","사회복지법인"
"2","서울","금천누리종합사회복지관","서울 금천구 가산로 129 가산동주민센터","02-868-6858","티뷰크 사회복지재단","사회복지법인"
"3","서울","가양4종합사회복지관","서울특별시 강서구 양천로57길 37","02-2668-6689","연세대학교","학교법인"
"4","서울","가양5종합사회복지관","서울특별시 강서구 양천로 57길 36","02-2668-4603","한기장복지재단","사회복지법인"
"4","서울","가양5종합사회복지관","서울특별시 강서구 양천로 57길 36","02-2668-4604","한기장복지재단","사회복지법인"
"5","서울","가양7종합사회복지관","서울특별시 강서구 허준로 209","02-2668-8600","기원","사회복지법인"
"6","서울","갈월종합사회복지관","서울특별시 용산구 두텁바위로 25","02-752-7887","한국장로교복지재단","사회복지법인"
"7","서울","강남종합사회복지관","서울특별시 강남구 개포로 109길 5","02-451-0051","강남학원","학교법인"
"7","서울","강남종합사회복지관","서울특별시 강남구 개포로 109길 5","02-451-0052","강남학원","학교법인"
"7","서울","강남종합사회복지관","서울특별시 강남구 개포로 109길 5","02-451-0053","강남학원","학교법인"
"8","서울","강동종합사회복지관","서울특별시 강동구 진황도로23길 7","02-2041-7800","기아대책","사회복지법인"
"9","서울","공릉종합사회복지관","서울특별시 노원구 동일로1127","02-948-0520","천도교유지재단","재단법인"
"9","서울","공릉종합사회복지관","서울특별시 노원구 동일로1127","02-948-0521","천도교유지재단","재단법인"
"9","서울","공릉종합사회복지관","서울특별시 노원구 동일로1127","02-948-0522","천도교유지재단","재단법인"
"10","서울","광장종합사회복지관","서울 광진구 아차산로66길 8","02-2201-1333","사랑의집","사회복지법인"
"11","서울","구로종합사회복지관","서울특별시 구로구 디지털로 31길 93","02-852-0522","대한불교조계종사회복지재단","사회복지법인"
"11","서울","구로종합사회복지관","서울특별시 구로구 디지털로 31길 93","02-852-0523","대한불교조계종사회복지재단","사회복지법인"
"11","서울","구로종합사회복지관","서울특별시 구로구 디지털로 31길 93","02-852-0524","대한불교조계종사회복지재단","사회복지법인"
"11","서울","구로종합사회복지관","서울특별시 구로구 디지털로 31길 93","02-852-0525","대한불교조계종사회복지재단","사회복지법인"
"12","서울","구세군강북종합사회복지관","서울특별시 강북구 인수봉로20가길 24","02-984-5811","대한구세군유지재단법인","재단법인(직영)"
"13","서울","궁동종합사회복지관","서울특별시 구로구 오리로 22길 5","02-2613-9367","대한불교조계종사회복지재단","사회복지법인"
"14","서울","길음종합사회복지관","서울특별시 성북구 삼양로8가길 32","02-985-0161","인덕원","사회복지법인"
"14","서울","길음종합사회복지관","서울특별시 성북구 삼양로8가길 32","02-985-0162","인덕원","사회복지법인"
"14","서울","길음종합사회복지관","서울특별시 성북구 삼양로8가길 32","02-985-0163","인덕원","사회복지법인"
"14","서울","길음종합사회복지관","서울특별시 성북구 삼양로8가길 32","02-985-0164","인덕원","사회복지법인"
"15","서울","까리따스방배종합사회복지관","서울특별시 서초구 남부순환로 2124","02-522-6004","천주교까리따스수녀회유지재단","재단법인(직영)"
"16","서울","노원1종합사회복지관","서울특별시 노원구 월계로 372 사슴아파트 1단지내","02-949-0700","청운보은동산","사회복지법인"
"16","서울","노원1종합사회복지관","서울특별시 노원구 월계로 372 사슴아파트 1단지내","02-949-0701","청운보은동산","사회복지법인"
"16","서울","노원1종합사회복지관","서울특별시 노원구 월계로 372 사슴아파트 1단지내","02-949-0702","청운보은동산","사회복지법인"
"16","서울","노원1종합사회복지관","서울특별시 노원구 월계로 372 사슴아파트 1단지내","02-949-0703","청운보은동산","사회복지법인"
"17","서울","녹번종합사회복지관","서울특별시 은평구 은평로 21길 14-26","02-388-6341","기독교대한감리회사회복지재단","사회복지법인"
"17","서울","녹번종합사회복지관","서울특별시 은평구 은평로 21길 14-26","02-388-6342","기독교대한감리회사회복지재단","사회복지법인"
"17","서울","녹번종합사회복지관","서울특별시 은평구 은평로 21길 14-26","02-388-6343","기독교대한감리회사회복지재단","사회복지법인"
"17","서울","녹번종합사회복지관","서울특별시 은평구 은평로 21길 14-26","02-388-6344","기독교대한감리회사회복지재단","사회복지법인"
"18","서울","능인종합사회복지관","서울특별시 강남구 양재대로 340","02-571-2988","능인선원","사회복지법인(직영)"
"18","서울","능인종합사회복지관","서울특별시 강남구 양재대로 340","02-571-2989","능인선원","사회복지법인(직영)"
"19","서울","대방종합사회복지관","서울특별시 동작구 여의대방로44길 47","02-826-2900","기아대책","사회복지법인"
"19","서울","대방종합사회복지관","서울특별시 동작구 여의대방로44길 47","02-826-2901","기아대책","사회복지법인"
"19","서울","대방종합사회복지관","서울특별시 동작구 여의대방로44길 47","02-826-2902","기아대책","사회복지법인"
"19","서울","대방종합사회복지관","서울특별시 동작구 여의대방로44길 47","02-826-2903","기아대책","사회복지법인"
"20","서울","대청종합사회복지관","서울특별시 강남구 양재대로 55길 10","02-459-6332","밀알복지재단","사회복지법인"
"20","서울","대청종합사회복지관","서울특별시 강남구 양재대로 55길 10","02-459-6333","밀알복지재단","사회복지법인"
"20","서울","대청종합사회복지관","서울특별시 강남구 양재대로 55길 10","02-459-6334","밀알복지재단","사회복지법인"
"21","서울","도봉서원종합사회복지관","서울특별시 도봉구 마들로 668","02-3494-4755","덕성학원","학교법인"
"21","서울","도봉서원종합사회복지관","서울특별시 도봉구 마들로 668","02-3494-4756","덕성학원","학교법인"
"22","서울","동대문종합사회복지관","서울특별시 동대문구 약령시로 5길22","02-920-4500","사회복지법인 삼육재단","사회복지법인"
"23","서울","동작이수사회복지관","서울특별시 동작구 동작대로35차길 7","02-592-3721","한주재단","사회복지법인"
"23","서울","동작이수사회복지관","서울특별시 동작구 동작대로35차길 7","02-592-3722","한주재단","사회복지법인"
"23","서울","동작이수사회복지관","서울특별시 동작구 동작대로35차길 7","02-592-3723","한주재단","사회복지법인"
"24","서울","동작종합사회복지관","서울특별시 동작구 등용로 47","02-814-8114","서울가톨릭사회복지회","사회복지법인"
"24","서울","동작종합사회복지관","서울특별시 동작구 등용로 47","02-814-8115","서울가톨릭사회복지회","사회복지법인"
"25","서울","등촌1종합사회복지관","서울특별시 강서구 강서로68길 36","02-2658-1010","유린보은동산","사회복지법인"
"26","서울","등촌4종합사회복지관","서울특별시 강서구 공항대로 39길 59","02-2658-8800","사회복지법인 훼미피아","사회복지법인"
"27","서울","등촌7종합사회복지관","서울특별시 강서구 공항대로 43길 104","02-2658-6521","서울가톨릭사회복지회","사회복지법인"
"27","서울","등촌7종합사회복지관","서울특별시 강서구 공항대로 43길 104","02-2658-6522","서울가톨릭사회복지회","사회복지법인"
"27","서울","등촌7종합사회복지관","서울특별시 강서구 공항대로 43길 104","02-2658-6523","서울가톨릭사회복지회","사회복지법인"
"27","서울","등촌7종합사회복지관","서울특별시 강서구 공항대로 43길 104","02-2658-6524","서울가톨릭사회복지회","사회복지법인"
"28","서울","등촌9종합사회복지관","서울특별시 강서구 화곡로 63가길 92","02-2658-4129","우리모두복지재단","사회복지법인"
"29","서울","마들사회복지관","서울특별시 노원구 동일로210길 22","02-971-8387","성민","사회복지법인"
"29","서울","마들사회복지관","서울특별시 노원구 동일로210길 22","02-971-8388","성민","사회복지법인"
"30","서울","마천종합사회복지관","서울특별시 송파구 마천로 65길 4","02-449-3141","대한불교조계종사회복지재단","사회복지법인"
"30","서울","마천종합사회복지관","서울특별시 송파구 마천로 65길 4","02-449-3142","대한불교조계종사회복지재단","사회복지법인"
"31","서울","면목종합사회복지관","서울특별시 중랑구 용마산로 228","02-436-0500","자광재단","사회복지법인"
"32","서울","목동종합사회복지관","서울특별시 양천구 목동중앙북로8길 104","02-2651-2332","기독교한국침례회유지재단","사회복지법인"
"33","서울","반포종합사회복지관","서울특별시 서초구 신반포로 33길 22","02-3477-9811","사랑의복지재단","사회복지법인"
"34","서울","방아골종합사회복지관","서울특별시 도봉구 시루봉로17길 42","02-3491-0500","일촌공동체","사단법인"
"35","서울","방화11종합사회복지관","서울특별시 강서구 개화동로 21길 4","02-2661-0670","서울YMCA","재단법인"
"35","서울","방화11종합사회복지관","서울특별시 강서구 개화동로 21길 4","02-2661-0671","서울YMCA","재단법인"
"35","서울","방화11종합사회복지관","서울특별시 강서구 개화동로 21길 4","02-2661-0672","서울YMCA","재단법인"
"35","서울","방화11종합사회복지관","서울특별시 강서구 개화동로 21길 4","02-2661-0673","서울YMCA","재단법인"
"36","서울","방화2종합사회복지관","서울특별시 강서구 방화대로48길 40","02-2662-6661","굿네이버스","사회복지법인"
"36","서울","방화2종합사회복지관","서울특별시 강서구 방화대로48길 40","02-2662-6662","굿네이버스","사회복지법인"
"36","서울","방화2종합사회복지관","서울특별시 강서구 방화대로48길 40","02-2662-6663","굿네이버스","사회복지법인"
"36","서울","방화2종합사회복지관","서울특별시 강서구 방화대로48길 40","02-2662-6664","굿네이버스","사회복지법인"
"37","서울","방화6종합사회복지관","서울특별시 강서구 금낭화로23길 25","02-2666-6181","꿈희망미래재단","사회복지법인"
"37","서울","방화6종합사회복지관","서울특별시 강서구 금낭화로23길 25","02-2666-6182","꿈희망미래재단","사회복지법인"
"37","서울","방화6종합사회복지관","서울특별시 강서구 금낭화로23길 25","02-2666-6183","꿈희망미래재단","사회복지법인"
"37","서울","방화6종합사회복지관","서울특별시 강서구 금낭화로23길 25","02-2666-6184","꿈희망미래재단","사회복지법인"
"38","서울","번동2단지종합사회복지관","서울특별시 강북구 한천로105길 24","02-987-5077","삼동회","사회복지법인"
"38","서울","번동2단지종합사회복지관","서울특별시 강북구 한천로105길 24","02-987-5078","삼동회","사회복지법인"
"38","서울","번동2단지종합사회복지관","서울특별시 강북구 한천로105길 24","02-987-5079","삼동회","사회복지법인"
"39","서울","번동3단지종합사회복지관","서울특별시 강북구 오현로 208, 302동","02-984-6777","기독교대한성결교회사회사업유지재단","사회복지법인"
"39","서울","번동3단지종합사회복지관","서울특별시 강북구 오현로 208, 302동","02-984-6778","기독교대한성결교회사회사업유지재단","사회복지법인"
"40","서울","번동5단지종합사회복지관","서울특별시 강북구 한천로 115길 20","02-981-5077","삼동회","사회복지법인"
"41","서울","본동종합사회복지관","서울특별시 동작구 노량진로32길 79","02-817-8052","대한불교조계종사회복지재단","사회복지법인"
"41","서울","본동종합사회복지관","서울특별시 동작구 노량진로32길 79","02-817-8053","대한불교조계종사회복지재단","사회복지법인"
"42","서울","봉천종합사회복지관","서울특별시 관악구 관악로 254","02-870-4400","YWCA","사회복지법인(직영)"
"43","서울","북부종합사회복지관","서울특별시 노원구 동일로 245길 56","02-934-7711","한국봉사회","사회복지법인(직영)"
"43","서울","북부종합사회복지관","서울특별시 노원구 동일로 245길 56","02-934-7712","한국봉사회","사회복지법인(직영)"
"43","서울","북부종합사회복지관","서울특별시 노원구 동일로 245길 56","02-934-7713","한국봉사회","사회복지법인(직영)"
"43","서울","북부종합사회복지관","서울특별시 노원구 동일로 245길 56","02-934-7714","한국봉사회","사회복지법인(직영)"
"43","서울","북부종합사회복지관","서울특별시 노원구 동일로 245길 56","02-934-7715","한국봉사회","사회복지법인(직영)"
"44","서울","사당종합사회복지관","서울특별시 동작구 사당로14길 20","02-597-3710","숭실재단","학교법인"
"44","서울","사당종합사회복지관","서울특별시 동작구 사당로14길 20","02-597-3711","숭실재단","학교법인"
"44","서울","사당종합사회복지관","서울특별시 동작구 사당로14길 20","02-597-3712","숭실재단","학교법인"
"45","서울","사랑의전화마포종합사회복지관","서울특별시 마포구 만리재로29","02-712-8600","사랑의전화복지재단","사회복지법인(직영)"
"46","서울","삼전종합사회복지관","서울특별시 송파구 백제고분로 32길 35","02-421-6077","승가원","사회복지법인"
"47","서울","상계종합사회복지관","서울특별시 노원구 덕릉로 115나길 25","02-951-9930","서울가톨릭사회복지회","사회복지법인"
"47","서울","상계종합사회복지관","서울특별시 노원구 덕릉로 115나길 25","02-951-9931","서울가톨릭사회복지회","사회복지법인"
"47","서울","상계종합사회복지관","서울특별시 노원구 덕릉로 115나길 25","02-951-9932","서울가톨릭사회복지회","사회복지법인"
"48","서울","상도종합사회복지관","서울특별시 동작구 상도로39가길 7","02-824-6011","기독교대한성결교회 사회사업유지재단","사회복지법인(직영)"
"48","서울","상도종합사회복지관","서울특별시 동작구 상도로39가길 7","02-824-6012","기독교대한성결교회 사회사업유지재단","사회복지법인(직영)"
"48","서울","상도종합사회복지관","서울특별시 동작구 상도로39가길 7","02-824-6013","기독교대한성결교회 사회사업유지재단","사회복지법인(직영)"
"49","서울","생명의전화종합사회복지관","서울특별시 성북구 오패산로 21","02-916-9194","한국생명의전화","사회복지법인(직영)"
