Type,Length,Depth,Kg
tuna,55.46,13.24093011,8.631268147
tuna,72.07,17.67134552,19.28899561
tuna,62.84,15.63536654,13.14056063
tuna,72.79,18.4408411,19.66909807
tuna,76.63,19.13748802,23.02179712
tuna,61.31,14.87011731,12.01289771
tuna,73.56,18.33441397,21.76379864
tuna,65.88,16.43683083,14.39828934
tuna,63.03,15.3907273,13.24624368
tuna,71.92,17.84425088,19.42457941
tuna,75.72,18.56139509,21.31757131
tuna,64.79,15.58031728,14.00734349
tuna,51.63,12.50321254,6.989896398
tuna,56.79,14.21717365,9.761098203
tuna,74.04,18.10808322,21.72256272
tuna,73.39,17.61827277,20.69286633
tuna,80.67,19.61120976,27.06153211
tuna,79.09,18.97457826,25.16175963
tuna,75.66,19.04633371,23.34537853
tuna,63.3,15.07733329,12.36046795
tuna,63.73,15.64749274,12.93573219
tuna,59.77,14.55980273,11.14109938
tuna,65.43,15.98972229,14.99594904
tuna,69.5,16.98701585,17.17970245
tuna,62.42,15.29756429,12.5380666
tuna,70.17,16.68283517,17.40915407
tuna,72.14,17.65903605,18.94971335
tuna,64.57,15.8163633,14.2859381
tuna,68.66,17.21203139,17.09561057
tuna,88.94,21.78358391,35.23780997
tuna,71.51,17.35119392,18.75041592
tuna,69.77,16.84396226,16.97528129
tuna,60.82,14.74295434,12.17027981
tuna,80.99,19.51598205,28.37674802
tuna,78.31,18.67220568,24.81688049
tuna,68.91,16.32852911,16.49838197
tuna,59.24,14.17258481,10.14126819
tuna,72.64,17.64726081,19.14084675
tuna,72.11,17.56036333,19.2613466
tuna,68.88,16.54089298,15.70660766
tuna,72.96,18.54333356,20.29473715
tuna,66.29,16.54088499,15.10949187
tuna,72.66,17.38709804,19.78943229
tuna,61.35,14.50403886,11.41336946
tuna,66.42,15.99879333,14.72356031
tuna,68.96,17.30549282,16.76691452
tuna,68.42,16.76316589,15.99049423
tuna,69.48,17.27563433,17.17189452
tuna,73.18,17.8381921,19.65026347
tuna,74.27,18.4018345,21.30326997
tuna,59.1,14.23160305,9.926827626
tuna,83.66,20.15183865,30.34878457
tuna,57.46,14.3521302,9.842621662
tuna,74.47,17.96554492,22.24635371
tuna,67.67,15.92077877,15.70043501
tuna,80.19,18.97021194,26.27713162
tuna,69.17,16.90267439,18.26329621
tuna,75.06,17.86510951,22.44898594
tuna,82.96,20.33843508,29.8039531
tuna,71.11,17.68506227,19.17936862
tuna,68.25,16.18631121,16.78751828
tuna,83.81,20.04684532,29.09204432
tuna,70.54,17.20185253,19.18638175
tuna,65.82,15.99887032,14.76019993
tuna,71.93,17.28316567,18.88533584
tuna,68.79,16.42507544,16.04709601
tuna,80.83,19.78344102,26.09862577
tuna,70.49,17.19665738,17.26628213
tuna,74.03,18.32196331,21.98361213
tuna,56.37,14.01494706,9.191623588
tuna,70.15,16.84338066,17.50068881
tuna,71.38,17.56077934,19.22173513
tuna,65.03,15.90487251,14.44800652
tuna,79.18,19.20129967,24.04721957
tuna,57.02,13.6701491,9.313542667
tuna,73.67,17.52825937,18.68820384
tuna,69.13,16.86425954,16.57607817
tuna,63.65,15.37403568,13.75177577
tuna,66.19,15.67791824,15.21513389
tuna,66.19,16.72088022,15.29832546
tuna,79.12,19.67153793,26.6740328
tuna,67.88,16.40815277,15.37591577
tuna,65.17,15.27782488,13.64969864
tuna,54.55,13.17973876,8.042774331
tuna,66.06,15.6051584,14.35815381
tuna,63.99,15.76450675,13.90062149
tuna,69.77,16.51926468,17.06669962
tuna,70.76,17.50719847,17.92604212
tuna,67.47,16.2575908,15.41978036
tuna,78.3,19.11188517,24.88199025
tuna,79.92,19.37263828,25.41764002
tuna,57.24,13.84967158,9.757416731
tuna,69.58,16.48900863,16.50099707
tuna,67.15,16.21371353,15.44274784
tuna,66.45,16.02642527,14.25121174
tuna,72.64,18.34876865,20.16424551
tuna,74.61,18.38486457,21.49187012
tuna,70.03,16.78143858,17.68137054
tuna,71.58,18.19927501,20.62510289
tuna,69.65,17.05838679,17.34131934
tuna,62.35,15.57428735,12.01397992
tuna,73.62,17.78941194,20.7743326
tuna,68.15,16.65094331,16.99138395
tuna,77.74,18.50609036,23.33775291
tuna,70.88,17.74345118,18.22502101
tuna,78.3,19.79950239,25.28145616
tuna,67.58,16.32999255,15.47541297
tuna,67.37,16.63589216,16.45786359
tuna,79.48,19.42925726,25.96806044
tuna,66.07,15.9331178,14.56618527
tuna,69.88,17.00676153,17.98148912
tuna,66.47,16.3887138,15.67359176
tuna,70.2,17.39739149,18.53081293
tuna,76.43,18.10293403,20.9748835
tuna,78.63,19.07563634,24.09211006
tuna,70.4,16.93979835,17.56407938
tuna,68.69,16.86206347,17.06205271
tuna,59.41,15.12684495,11.27411299
tuna,84.93,20.81874806,30.62042449
tuna,73.54,17.6729909,19.04196456
tuna,61.55,14.8289678,12.50102917
tuna,70.36,17.25801321,18.3725269
tuna,67.44,16.20139005,15.36274605
tuna,66.08,15.80925594,13.7102132
tuna,74.47,17.93102615,21.14985788
tuna,65.84,15.45307917,14.3497247
tuna,61.8,15.14070178,11.85416617
tuna,68.5,16.73683084,16.44596283
tuna,70.77,16.93544313,17.92811063
tuna,65.34,15.26822144,13.71790894
tuna,69.74,16.81441201,18.31243046
tuna,55.68,13.46619552,8.981991709
tuna,75.04,18.6396325,22.50067477
tuna,66.57,16.92991718,16.24032067
tuna,67.4,16.82731957,16.1315136
tuna,75.82,18.37937787,21.80883668
tuna,74.79,18.04294813,21.69241648
tuna,68.18,16.81320004,16.15183938
tuna,67.54,16.39834915,14.64928341
tuna,68.81,16.8311174,17.70796438
tuna,73.31,18.05600398,20.64588236
tuna,77.1,19.03542053,23.01889765
tuna,66.72,15.85981746,15.42165342
tuna,76.31,18.38082972,22.87647446
tuna,70.14,16.45639268,16.57463297
tuna,68.87,17.06352309,17.21992639
tuna,58.29,14.36672482,10.06205412
tuna,72.04,17.55475601,19.40974762
tuna,60.37,14.75385548,11.17890043
tuna,54.73,13.41425894,8.235302182
tuna,58.51,13.98791036,10.67713239
tuna,71.51,17.47506994,18.01790629
tuna,76.53,18.7388565,22.47183577
tuna,76.62,19.37950813,25.80000365
tuna,76.45,18.2874601,22.39921374
tuna,71.19,17.68669157,19.2919118
tuna,66.47,16.5198526,15.02466073
tuna,70.07,16.69520865,17.81626484
tuna,74.15,18.02036041,20.31044988
tuna,67.61,16.89651553,15.43626318
tuna,73.09,17.5176439,18.05347501
tuna,64.93,16.39084816,14.3708789
tuna,65.81,16.02755825,14.88438763
tuna,57.19,13.44416047,9.219016577
tuna,61.72,15.60353923,12.88624515
tuna,66.34,16.76186206,15.61622209
tuna,54.48,13.27297995,8.066292644
tuna,77.13,17.912919,22.80925982
tuna,84.15,20.77677411,30.92603823
tuna,66.12,16.19540153,15.50514844
tuna,74.3,17.74517132,20.13100748
tuna,76.62,18.47170562,22.80972247
tuna,76.43,18.67116621,23.91508159
tuna,79.6,19.87573511,27.6613636
tuna,80.65,20.32105519,27.96652579
tuna,63.44,15.38486058,12.35047446
tuna,79.9,18.80366225,25.01610437
tuna,71.43,17.58982162,18.62098631
tuna,67.73,16.32652253,16.29769153
tuna,75.01,18.02074076,20.95974169
tuna,68.63,16.95317503,16.87391975
tuna,61.44,14.72420481,11.92198459
tuna,69.08,16.62570719,17.17768364
tuna,77.39,19.10904212,24.80885124
tuna,73.7,18.02585768,21.18950659
tuna,76.67,18.62454536,22.72406759
tuna,77.91,19.2980403,24.51148947
tuna,67.86,16.70867706,17.50933616
tuna,76.1,18.87877443,24.00370301
tuna,64.57,16.28689349,14.3760366
tuna,73.77,18.18093662,19.68788959
tuna,79.97,19.66548164,26.00634362
tuna,69.22,16.60278767,17.25727723
tuna,68.37,17.15080993,16.83092169
tuna,83.86,20.87340122,32.55600932
tuna,67.51,16.31899606,15.62887944
tuna,70.6,17.40498591,18.89592973
tuna,65.05,15.56605268,13.99040303
tuna,76.31,19.10070014,24.25829524
tuna,70.29,17.3764741,18.46654143
tuna,58.25,14.11876551,9.6086211
tuna,64.36,16.13441397,13.57903627
tuna,66.23,16.24039154,15.04674002
tuna,67.36,16.55018768,15.99179426
tuna,75.92,18.79637607,23.46162204
tuna,61.06,14.72877063,11.27086884
tuna,61.3,15.12845951,12.15873082
tuna,77.15,18.43907284,23.21000351
tuna,75.65,18.74495241,22.21164741
tuna,68.5,16.16232184,15.85180228
tuna,73.98,17.87117843,19.66766802
tuna,56.72,14.2886583,9.350860639
tuna,64.76,15.97432987,14.57587743
tuna,63.89,15.40326893,13.29289185
tuna,62.05,14.95774769,12.48413253
tuna,67.72,16.39882157,15.51436315
tuna,66.98,16.62222462,16.43978722
tuna,65.77,15.94738926,14.35762105
tuna,73.65,17.37599363,19.69728538
tuna,65.96,16.51688327,14.85209751
tuna,72.61,17.75929391,20.22131214
tuna,74.18,17.34772007,20.10726389
tuna,74.87,18.30493928,21.93008433
tuna,65.23,15.95222546,14.44989298
tuna,64.54,15.44736023,13.39113304
tuna,80.62,18.94324935,25.94008108
tuna,78.32,19.35917519,24.95906095
tuna,69.6,16.63621706,18.27523848
tuna,65.13,15.8734961,13.65721785
tuna,75.16,18.14538106,21.15543226
tuna,65.53,15.48740694,13.69818572
tuna,74.89,18.15677804,22.88033444
tuna,64.53,15.85766312,14.01461532
tuna,65.16,15.65516424,13.48792031
tuna,76.01,18.57700274,22.8192183
tuna,67.07,16.44831824,16.00114091
tuna,69.96,17.36892437,17.6311346
tuna,53.56,13.43183774,7.923603116
tuna,63.29,15.59735624,12.9268929
tuna,73.68,17.92659621,20.28054835
tuna,76.72,17.8281587,22.88300755
tuna,54.09,12.94930841,7.740245431
tuna,77.39,18.08520807,23.10541849
tuna,70.3,17.04982084,17.74943274
tuna,59.39,15.15760703,10.86398989
tuna,65.24,15.33561505,14.02393673
